start,end,screencap,film scene / beat description,truth level,truth int,fiction type ,film (condensed),in reality (condensed notes),in reality (long notes),source name,source link,source link,source link
00:32:16,00:32:43,00:32:29,Continue montage of scenes of ZUCKERBERG blowing off the team while working on TheFacebook.,TRUE,3,,Zuckerberg continues to blow off Team Winklevoss.,Zuckerberg continuously put off meetings.,"Zuckerberg was working on TheFacebook while emailing the HarvardConnection team with progress updates that never materialised, & avoided meeting with them during the period. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p85-88.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:32:43,00:33:24,00:32:49,SAVERIN answering questions about the John Harvard statue as part of the Phoenix Club admission process. He does well. ,TRUE,3,,Saverin answers questions about the John Harvard statue.,The statue formed part of the club admission test.,The John Harvard statue was known as the Statue of Three Lies. Memorising the three lies was part of the Phoenix Club admission test.,Harvard,http://www.summer.harvard.edu/blog-news-events/3-lies-harvard,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p124. ",
00:33:24,00:33:44,00:33:40,"Deposition 2 - Jan 11th 2004, ZUCKERBERG registered domain name TheFacebook via Network Solutions. Still hadn't completed the HarvardConnection work. ",TRUE,3,,Zuckerberg registers the domain TheFacebook.com,11th Jan 2004 Zuckerberg registered TheFacebook domain name. ,"11th Jan 2004 Zuckerberg paid $35 to register TheFacebook for a year. Went live for Harvard students 4th Feb 2004. When they removed the 'The', they paid $200k for a new domain name, debuted on 20th Sept 2005. ",Chasing the Frog,http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,,
00:33:44,00:33:52,00:33:46,"SAVERIN states ZUCKERBERG had not even begun work on HarvardConnection at that point. ZUCKERBERG had appeared to be listening & taking notes throughout, but at this stage we see he was just doodling. Seems smug & indifferent. ",TRUE-ISH,2,,Zuckerberg seems not to have done anything on HarvardConnection.,Difficult to know exactly what Zuckerberg had done on HarvardConnection.,"The twins claimed they had emails from Zuckerberg updating them on his progress. Whether or not these emails were truthful is difficult to know. However, according to the book Saverin did think that Zuckerberg hadn't done the work for HarvardConnection. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:33:52,00:34:10,00:34:07,"The WINKLEWOSS twins get a message from ZUCKERBERG, claiming he is skeptical that HarvardConnection could even work. They are incredulous. ",TRUE,3,,Team Winklevoss receive an skeptical email about he site from Zuck.,Zuckerberg finally told them didn't think it could be a success.,"7 weeks into the HarvardConnection deal Zuckerberg expressed negativity about the idea for the first time, which worried the team, given his previous enthusiasm. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p88.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:34:10,00:34:51,00:34:22,"Deposition 2 - NARENDRA & WINKLEVOSS claim ZUCKERBERG spent 42 days studying their system so he could use it to start TheFacebook. ZUCKERBERG finally shows some emotion, exclaims that the team's idea was derivative anyway, & none of their code appeared in TheFacebook. ",FALSE,0,"character development, story coherence",Winklevoss accuse Zuckerberg of stealing their code.,Not in the book.,"This scene doesn't appear in the book. Social network sites were gaining popularity & there was several out there before both HarvardConnection & TheFacebook. Both were derivative. As for the code, there isn't a public copy of the original sets of code for comparison. ",AdWeek,http://www.adweek.com/socialtimes/did-mark-zuckerberg-steal-the-code-for-facebook/304000,,
00:34:51,00:35:42,00:35:03,"In a computer lab at Harvard. MUSKOVITZ asks ZUCKERBERG if he knows whether a girl he likes is dating anyone. This gives ZUCKERBERG an idea, & he runs off.",TRUE-ISH,2,,"Zuck has a eureka moment over ""relationship status""",Zuckerberg enthused by a last-minute idea. ,"Zuckerberg got the idea for adding 'relationship status' & 'interested in' to TheFacebook & raced to add it to the site, but we don't know where it came from.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p92-94.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:35:42,00:35:57,00:35:53,ZUCKERBERG runs to his dorm. SAVERIN is waiting at the door. ,TRUE,3,,Zuc runs back to the dorm.,Saverin was waiting for him.,"The site was almost ready to be launched, so Saverin was waiting for Zuckerberg to return to the dorm & get things finalised. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p92.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:35:57,00:36:45,00:36:13,ZUCKERBERG rushes to add his latest inspiration to TheFacebook - 'relationship status' & 'interested in'. SAVERIN thinks it's brilliant. ZUCKERBERG declares TheFacebook complete.,TRUE,3,,Zuckerberg relates the idea to Saverin.,This was the site's finishing touch.,"Zuckerberg added those features at the last minute, the finishing touches. Saverin thought they were great & would distinguish TheFacebook from other social networking sites. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p4-95.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:36:45,00:36:59,00:36:55,"ZUCKERBERG adds a masthead with SAVERIN'S name & position. SAVERIN is overwhelmed by what that will mean to his father; in a rare glimpse of his humanity, ZUCKERBERG gets that.",FALSE,0,character development ,Zuckerberg adds Saverin's name to the masthead.,Only Zuckerberg's name was on the masthead.,"In the book, it was only Zuckerberg's name on the masthead when the site went live. Saverin didn't mind. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p96.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:36:59,00:38:08,00:37:22,ZUCKERBERG persuades SAVERIN to give him the Phoenix Club mailing list to send TheFacebook out to. The site goes live. ZUCKERBERG has a weird emotional moment. ,TRUE-ISH,2,,Zuckerberg persuades Saverin to send Facebook out on the Pheonix club mailing list.,TheFacebook went out to the Phoenix Club mailing list.,"Zuckerberg did send TheFacebook out through the Phoenix Club mailing list, but it had been Saverin's idea. The book describes Zuckerberg as 'bobbing' oddly while he stared at the screen, waiting to see what would happen. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p97.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:38:08,00:39:10,00:38:09,"NARENDRA is watching a Harvard a Capella group with his girlfriend. She opens email links to TheFacebook. NARENDRA sees it & makes the connection, storms out.",FALSE,0,drama,Narendra discovers Facebook.,This scene wasn't in the book.,This scene wasn't in the book.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:39:10,00:39:46,00:39:23,"NARENDRA races to the boathouse to find the WINKLEWOSS twins, tells them ZUCKERBERG stole their website. They are furious.",TRUE,3,,Narendra races to the boat house to tell the Winklevosses.,Narendra told the twins Zuckerberg had stolen their idea.,Narendra found out about TheFacebook in the Crimson & interrupted the twins' training session in the boathouse to tell them that Zuckerberg had stolen their website. They were all furious. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p100-101.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:39:46,00:42:41,00:40:07,"NARENDRA & WINKLEVOSS twins trying to contact ZUCKERBERG, arranging legal counsel. NARENDRA & TYLER want to sue & publish their story in the Crimson, CAMERON says gentlemen of Harvard don't sue or defame.",TRUE,3,,Narenda & Tyler want to sue. Cameron blocks them.,They didn't want to resort to legal action or public shaming.,"They did get legal counsel & considered all their options for taking Zuckerberg down, but preferred not to take legal action if they could help it. Much of their frustration with Zuckerberg was related to his ethical breach; honour was really important to the twins.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p130, 163-164.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:42:41,00:43:52,00:42:42,Deposition 2 - lawyer asks ZUCKERBERG why he didn't go to the WINKLEWOSS twins to fund his idea. ZUCKERBERG claims he wanted SAVERIN as his partner because they were friends.,FALSE,0,"character development, story coherence",Zuckerberg says he wanted Saverin as an investor.,We don't know Zuckerberg's motivations. ,This scene wasn't in the book. We don't know Zuckerberg's motivations for going to Saverin for funds. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:43:52,00:44:04,00:43:54,Deposition 1 - SAVERIN says TheFacebook exploded after the initial launch.,TRUE,3,,The Facebook exploded after launch.,Facebook reached a million users within the first year.,Facebook reached a million users within the first year.,The Guardian,http://www.theguardian.com/news/datablog/2014/feb/04/facebook-in-numbers-statistics,http://en.wikipedia.org/wiki/Timeline_of_Facebook,
00:44:04,00:44:27,00:44:12,"Deposition 2 - NARENDRA reports that ZUCKERBERG became the biggest thing on campus, that people had started using the phrase, 'Facebook me'.",TRUE,3,,"People start using the phrase 'Facebook Me""",Christy used 'Facebook me' in the book.,"In the book we first hear the phrase 'Facebook me' from Christy (Kelly), when she introduces herself to Saverin. Narendra doesn't mention it in the book, although he would have known about it. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p112.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:44:27,00:45:42,00:45:16,"Back to Harvard days. ZUCKERBERG & SAVERIN in an auditorium hearing a speech from BILL GATES. CHRISTY introduces herself & her friend ALICE, it becomes clear ZUCKERBERG is now a celebrity, with SAVERIN in the background. ",TRUE-ISH,2,,Zuck meets some girls at a Bill Gates lecture.,Bill Gates gave a speech & some girls in the audience recognised Zuckerberg & Saverin.,"Bill Gates did give a speech at Harvard. Christy was actually a girl named Kelly, who was Saverin's girlfriend. Kelly & Alice introduced themselves at the presentation, excited to meet TheFacebook's then celebrity creators.  ",Quora,http://www.quora.com/What-parts-of-the-The-Social-Network-movie-are-accurate-and-which-are-not,http://www.quora.com/The-Social-Network-2010-movie/Who-was-the-real-life-Christy-Ling-Is-she-meant-to-be-Jenny-Wu,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p109."
00:45:42,00:46:35,00:46:03,"ZUCKERBERG & SAVERIN outside the auditorium. A group of college guys greet ZUCKERBERG as a celebrity, congratulate him on TheFacebook. ",TRUE,3,,A group of college guys recognise Zuck. Are impressed.,They had become local celebs.,"The pair, but especially Zuckerberg, were getting pointed at & whispered about after TheFacebook launched. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p109-110.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:46:35,00:47:30,00:47:23,"In the dorm. SAVERIN wants to monetise TheFacebook through advertising. ZUCKERBERG refuses, says TheFacebook's most priceless asset is that it's cool, doesn't want to undermine that. ",TRUE,3,,Saverin wants to monetize Facebook through advertising. Zuck doesn't.,Zuckerberg just wasn't interested in money.,"Saverin wanted to get rich, Zuckerberg wanted to be successful. Zuckerberg wasn't interested in any money beyond the running costs of the site. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p120.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:47:30,00:48:55,00:47:48,"SAVERIN finds a cease & desist letter in ZUCKERBERG's dorm. ZUCKERBERG insists he didn't steal their idea, just had a better one that was similar. Tells SAVERIN he has responded to the letter already.",TRUE,3,,Saverin discovers a cease & desist letter.,The twins sent Zuckerberg a cease & desist in 2004.,"The twins sent Zuckerberg a cease & desist in Feb of 2004, soon after TheFacebook launched. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p113-114. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:48:55,00:50:42,00:49:19,"Deposition 2 - focus on the fact that ZUCKERBERG only raised concerns about HarvardConnection in the last of the 16 emails he sent to the team. ZUCKERBERG condescends to lawyer, dismisses the whole lawsuit as annoying & futile. ",FALSE-ISH,1,"character development, story coherence",Zuckeberg only raised concerns about the Winkelvoss project late in the day.,Email details are cloudy.,"The depositions details aren't in the book & only a few snippets have been leaked online. The email exchanges between Zuckerberg & the twins appear online in various forms, but can't be verifed. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:50:42,00:50:56,00:50:54,Back to the dorm. SAVERIN tells ZUCKERBERG that CHRISTY & ALICE want to go for drinks that night. ,TRUE,3,,Christy & Alice want to go for drinks.,Saverin passed on the message.,"The girls invited them for drinks that night, Saverin passed on the message to Zuckerberg, who thought it was an 'interesting' idea. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p112.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:50:56,00:51:40,00:51:00,CHRISTY making out with SAVERIN in a high-end club men's bathroom. SAVERIN sees ZUCKERBERG's sandals & a pair of heels under the door to the next stall. They both get some action. ,TRUE,3,,Saverin & Zuckerberg make out in the toilets with the girls.,Saverin & Zuckerberg hooked up with Kelly & Alice in a club bathroom.,Saverin & Zuckerberg hooked up with Kelly & Alice in a club bathroom.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p120-121.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:51:40,00:52:07,00:51:50,SAVERIN & ZUCKERBERG guard the men's room door while the girls freshen up. The get the nod of approval from some cool looking college guys. Both looking very pleased with themselves.,FALSE-ISH,1,,Some cool guys approve of their making out.,Facebook got them action.,"Although this particular scene doesn't feature in the book, Saverin & Zuckerberg did get some action with Kelly & Alice in the bathroom of a club. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p120-121.",,,
00:52:07,00:53:46,00:52:39,"ZUCKBERG sees ERICA in the same club, approaches her, asks to talk privately. She shoots him down. He walks back to SAVERIN, states his decision to expand TheFacebook.",FALSE,0,character development,Zuck spots his ex Erica in the club.,No Erica Albright.,Erica Albright didn't exist. ,The Guardian,http://www.theguardian.com/film/2010/oct/20/mark-zuckerberg-the-social-network,,
00:53:46,00:54:32,00:54:23,"In the dorm. ZUCKERBERG & SAVERIN bring on MOSKOVITZ & HUGHES, discuss expansion plans. Want to take TheFacebook to Columbia, Yale & Stanford.",TRUE,3,,They want to expand to our colleges.,Moskovitz & Hughes got hired for the expansion.,"Moskovitz was hired to help expand the site to more schools & Hughes was the spokesperson for the business. Columbia, Stanford & Yale were the next schools to get Facebook after Harvard. ",Chasing the Frog,http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p118.",
00:54:32,00:55:40,00:54:42,"Deposition room 1 - lunch break. MARYLIN introduces herself to ZUCKERBERG again. She thinks he must hate the WINKLEVOSS twins. He says he hates nobody, that the twins are only suing because things didn't go their way for once. ",UNKNOWN,-1,"character development, story coherence",Zuck believes the lawyers are suing because things didn't go their way.,No Marylin character in the book. ,"Zuckerberg's deposition lawyers weren't in the book, & this comment was never recorded.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:55:40,00:56:57,00:55:56,The HarvardConnection team find out about the expansion. Want to bring down TheFacebook. Decide to get a meeting with the president of Harvard. ,TRUE,3,,Team Winklevoss decide to go to the president of Harvard.,The twins used their connections to meet Summers.,"The twins used their connections to meet Summers, wanted to get him to punish Zuckerberg.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p122-131.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:56:57,00:59:08,00:57:00,"PARKER wakes up with AMY in her Stanford dormroom after a one-night stand. He tells her he started Napster, & gave it away for free, & is now broke & getting sued.",TRUE-ISH,2,,Sean Parker wakes up after a one-night stand.,"Parker had a lot of women, & did get sued by Napster. ","In the book, Parker woke up in his own room, which was near enough attached to the Stanford dorms although he wasn't a student there. There were bits of girls' clothing around the place. He lay there & reminised about his previous ventures, his success with girls etc. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p132-142.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
00:59:08,01:00:16,00:59:08,"PARKER borrows AMY's laptop & sees TheFacebook for the first time. He's intrigued, asks Amy about it, decides to find ZUCKERBERG. ",TRUE,3,,Parker sees Facebook for the first time.,"Parker saw Facebook on a girl's laptop, emailed Zuckerberg.","Parker did discover TheFacebook on a girl's laptop, & decided to seek out Zuckerberg. He emailed Saverin & Saverin set up the meeting at 66 in New York. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p139-142.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:00:16,01:00:39,01:00:24,"WINKLEWOSS twins in SUMMERS' outer office at Mass Hall, waiting to see him (the president of Harvard). ",TRUE,3,,The Winklevosses wait to meet the president.,The twins met with Summers.,"The twins pulled all the connections they had to get a meeting with SUMMERS. His office was in Mass Hall, one of the oldest buildings in Harvard square.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p122-124.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:00:39,01:04:04,01:01:14,"WINKLEWOSS twins attempt to persuade SUMMERS to expel ZUCKERBERG. SUMMERS is dismissive, says the issue is not worthy of his time or Harvard's. ",TRUE,3,,The Winklevosses attempt to get Zuck expelled. Summers is not interested.,Summers wasn't interested.,"Summers showed no interest in the case, claimed it was out of Harvard's jurisdiction. Irritated that the twins had taken up his time with it. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p126-131.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:04:04,01:04:15,01:04:08,"WINKLEWOSS twins leave SUMMERS' office, slam the door, break the doorknob. ",FALSE-ISH,1,dramatic license,Angry twins break doorknob.,They didn't break the doorknob.,"The twins did leave Summers' office in a rage. They didn't break the doorknob, though. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p131.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:04:15,01:04:47,01:14:18,Deposition 1 - lawyer is questioning SAVERIN about his & ZUCKERBERG's trip to New York to meet with potential advertisers. ,TRUE,3,,Zuck & Saverin visit advertisers in NYC.,They met advertisers together.,Zuckerberg & Saverin met several advertisers together in NY.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p144.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:04:47,01:05:19,01:05:05,"In a meeting with a potential advertiser. SAVERIN in a suit, making an earnest presentation. ZUCKERBERG in scruffy clothes, slouched in chair, indifferent, making weird clucking noises. Ad guy is not impressed with his attitude. ",TRUE,3,,Zuckerberg is antisocial in the meeting.,Zuckerberg couldn't be bothered with advertisers.,"Saverin set up numerous meetings with potential advertisers. Zuckerberg, not interested in the 'uncool' world of suits & money, slept through most of them or stayed silent the whole way through. The ad guys didn't 'get' the site, & the meetings failed. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p144.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:05:19,01:05:30,01:05:30,Deposition 1 - lawyer askes SAVERIN about second meeting in New York. ,TRUE,3,,Lawyers asks about meeting with Sean Parker.,They met Parker in NY.,After meeting with advertisers they met with Parker. ,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p145.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:05:30,01:06:00,01:05:39,"CHRISTY, ZUCKERBERG & SAVERIN in a bar, waiting for PARKER to arrive. ZUCKERBERG is excited. SAVERIN is irritated that PARKER is late.  ",TRUE-ISH,2,,They wait for Sean Parker at 66 in NY.,They met at 66 in NY.,"Zuckerberg & Saverin did meet Parker at 66 in New York. Zuckerberg was really excited, Saverin not so much. Zuckerberg & Saverin were accompanied not by Saverin's girlfriend, but by Zuckerberg's girlfriend Priscilla Chan. ",Chasing the Frog,http://www.chasingthefrog.com/reelfaces/thesocialnetwork.php,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p145.",
01:06:00,01:06:15,01:06:03,"Deposition 1 - SAVERIN claims he was nervous about meeting PARKER, after hearing he was a wildcard. ",TRUE,3,,"Saverin was nervous about meeting ""wildcard"" Parker.",Saverin didn't trust Parker.,"From Saverin's online research into Parker, he didn't trust him at all.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p145.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:06:15,01:07:00,01:06:36,"At the bar. PARKER walks in, suave, popular, confident. Orders luxury snacks & drinks for the team. A perfect gentleman to CHRISTY especially, which annoys SAVERIN. ",TRUE,3,,"Parker arrives, confident & suave.",Parker was super-popular.,"Parker seemed to know everybody in the joint, & was popular with all of them. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p146.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:07:00,01:07:02,01:07:01,"Deposition 1 - SAVERIN states that 'from that point on, it was a Shaunathon'.",TRUE,3,,It was a Shaunathon.,Parker told them his recent life story.,Parker told them his recent life story.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p146.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:07:02,01:07:10,01:07:04,"Flash of the meeting in the bar, a LOT of appletinis, sense of a good vibe. ",TRUE,3,,Good times.,The bar was a real hotspot.,"The bar was really popular, buzzing, a hotspot. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p145.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:07:10,01:07:17,01:07:16,Deposition 1 - lawyer askes SAVERIN what they all talked about. SAVERIN rolls his eyes. ,TRUE,3,,Saverin rolls his eyes over Parker.,Saverin thought Parker was narcissistic.,Saverin thought Parker was totally self-centered.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p146.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:07:17,01:07:26,01:07:24,Flash of continued good time in the bar. Only SAVERIN not enjoying himself. ,TRUE,3,,Only Saverin is not having any fun.,All but Saverin had fun.,"There were drinks & food & Zuckerberg idolised Parker, it was only Saverin who wasn't up for the meeting.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p146.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:07:26,01:07:28,01:07:28,Deposition 1 - SAVERIN says PARKER took them all through his episode with Napster. ,TRUE,3,,Parker takes them through Napster.,"Parker was open with them about everything, including Napster's implosion. ","Parker was open with them about everything, including Napster's implosion. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p146-147.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:07:28,01:07:49,01:07:31,The bar. PARKER recounts getting sued over Napster & declaring bankruptcy. ,TRUE,3,,Parker takes them through Napster & bankruptcy.,"Parker was open with them about everything, including Napster's implosion. ","Parker was open with them about everything, including Napster's implosion. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p146-147.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:07:49,01:07:57,01:07:52,Deposition 1 - SAVERIN recalls PARKER discussing his second venture.,TRUE,3,,Parker talks about his second venture.,Parker told them everything.,Parker told them everything.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p146-147.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:07:57,01:08:05,01:08:04,The bar. PARKER starts to tell the story of being a 20-year-old at 'the top of a hot dot com'. ,TRUE,3,,Parker talks about being at the top of a hot dot com.,Parker gave them all the details.,Parker gave them all the details.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p146-147.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:08:05,01:08:13,01:08:08,Deposition 1 - SAVERIN claims PARKER was paranoid.,FALSE,0,,Saverin claims Parker was paranoid.,Not in the book.,In the book Parker didn't talk to Saverin about being followed.,"Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:08:13,01:08:39,01:08:14,"The bar. PARKER tells everyone that he was followed, bugged, lied about etc. All to bring him down so others could steal his idea.  ",TRUE,3,,Parker tells everyone he's been followed & bugged.,Parker thought he was being followed.,"Parker did think he was being watched. He saw cars with blacked-out windows following him, heard clicks on his phoneline, got weird callbacks on his mobile etc. Thought it was Moritz getting dirt on him so he could push him out of Plaxo. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p136.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:08:39,01:08:40,01:08:39,Deposition 1 - SAVERIN says PARKER was delusional. ,FALSE,0,,Saverin says Parker was delusional.,Not in the book.,"Saverin didn't mention anything about Parker being delusional in the book, but he certainly thought he was a snake. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. ",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:08:40,01:09:00,01:08:54,The bar - PARKER claims he brought down the record companies with Napster. SAVERIN rejects that view. PARKER gets the final word. ,TRUE-ISH,2,,Parker claims he brought the record companies down.,Parker thought he brought the record companies down. ,"That was Parker's view of Napster. While the conversation didn't come up explicitly in the book, we know Parker told them everything & that Saverin didn't trust him. ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p134.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:09:00,01:09:14,01:09:03,"Deposition 1 - SAVERIN lists PARKER's boasts of millionaire friends, parties etc. Says he implored ZUCKERBERG to come to California, then cut to TheFacebook. ",TRUE,3,,Parker tells story after story.,Parker told them everything. ,"Parker told them all about his partying, his friends, before questioning Zuckerberg about TheFacebook.","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p146-147.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
01:09:14,01:10:08,01:09:46,"The bar. All discussing TheFacebook. PARKER & ZUCKERBERG on the same page re advertising, SAVERIN disagrees. ZUCKERBERG says stay away from ads to keep it cool. A million dollars isn't cool. ",TRUE,3,,A million dollars isn't cool.,Parker & Zuckerberg hit it off instantly.,"Parker & Zuckerberg were on the same page about everything, ","Ben Mezrich's 'The Accidental Billionaires', paperback. 2010. p146-148.",https://www.amazon.com/Accidental-Billionaires-Founding-Facebook-Betrayal/dp/0307740986?tag=titb-20,,
